,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38
2024-03-12 11:45:00+01:00,5.7626934,11.5564375,-5.272231,-11.781424,35.28654,83.39044,143.92538,183.85733,196.01915,206.26688,196.54076,149.88109,83.742584,57.93294,56.069736,64.653404,72.38055,90.41222,95.81638,100.88835,114.71324,105.47981,80.549126,65.19588,41.18605
2024-03-12 12:00:00+01:00,5.82563,8.735547,-10.667451,-41.89021,39.04449,102.17467,162.3124,183.85733,192.02913,198.06494,196.21376,145.6136,83.41212,60.85291,71.23204,84.27865,84.44042,90.80397,89.92091,95.001724,105.77505,83.467804,73.000534,61.2828,35.87033
2024-03-12 12:15:00+01:00,5.82563,8.735547,-10.667451,-41.89021,39.04449,102.17467,162.3124,183.85733,192.02913,194.15805,194.68324,145.6136,83.41212,60.85291,71.23204,84.27865,84.44042,90.80397,89.92091,95.001724,105.77505,83.467804,73.000534,61.2828,34.366497
2024-03-12 12:30:00+01:00,5.82563,9.329409,-10.667451,-41.89021,39.04449,102.17467,162.3124,183.85733,192.02913,194.15805,194.68324,145.6136,82.90081,61.647747,71.23204,84.27865,84.44042,90.80397,89.92091,95.001724,104.02428,83.467804,71.15384,61.2828,37.86336
2024-03-12 12:45:00+01:00,5.82563,9.329409,-10.667451,-41.89021,39.04449,101.0045,162.3124,183.71103,192.02913,194.1625,194.68324,145.60431,82.90081,61.07474,71.23204,84.27865,84.44042,90.80397,89.92091,93.980896,104.02428,82.64601,71.15384,61.2828,37.86336
2024-03-12 13:00:00+01:00,4.736825,9.253967,-8.718177,-31.882032,47.210052,105.538605,160.63153,178.42473,189.86957,199.45595,194.68324,151.7181,84.80477,73.39839,83.3637,76.631386,71.95851,74.52609,87.450264,91.69931,108.71245,87.14216,72.84048,60.168694,37.380478
2024-03-12 13:15:00+01:00,4.736825,9.87822,-8.718177,-31.882032,47.210052,105.538605,160.63153,178.42473,189.86957,199.72528,194.68324,150.70381,84.80477,73.39839,83.3637,76.631386,71.95851,74.52609,87.450264,91.69931,110.46322,87.35439,72.84048,60.168694,37.380478
2024-03-12 13:30:00+01:00,4.736825,9.87822,-8.62469,-31.882032,47.210052,105.538605,160.63153,178.42473,189.86957,199.72528,194.68324,153.71512,84.80477,73.39839,83.3637,76.631386,71.95851,74.52609,87.450264,91.69931,110.46322,87.35439,72.84048,60.168694,37.380478
2024-03-12 13:45:00+01:00,4.736825,9.87822,-8.62469,-31.882032,47.210052,102.797714,160.63153,178.7036,189.86957,199.78961,195.29085,153.71512,84.54049,73.39839,83.3637,76.631386,71.74444,74.52609,87.450264,91.737526,108.71245,87.35439,72.84048,60.168694,37.380478
2024-03-12 14:00:00+01:00,3.9375143,14.750449,0.49318588,-21.698462,54.036514,96.44277,136.10065,175.09583,192.3183,198.11292,196.83505,158.63025,95.187096,87.16056,84.957565,77.1394,62.71709,67.95643,82.278336,89.92533,108.62375,85.89848,72.17446,58.095547,36.17147
